13
Chacal	666	951	chacal@niacland.net
Drealmer	Le Gelbe	741	drealmer@niacland.net
Feral	La tendre et douce	123456	feral@niacland.net
Gimli	Le Nain	456	gimli@niacland.net
Jésus	2NIAC	314159	niac@niacland.net
Le Paldamel	A un GROS nez	852	paldamel@niacland.net
Manu	HalfBob	00nul	manu@niacland.net
Mr	Tout	27	mrtout@niacland.net
Sidoine	Génie	2233	sidoine@wanadoo.fr
The	Spy	789	thespy@niacland.net
The	Berserker	1234	berserk@niacland.net
The	Liner	-8	liner@niacland.net
Ze	Yom	ché pu	zeyom@niacland.net
